"","site_proj_comm","treatment","site_code","project_name","data_type","species_matched","avg_distance_all","avg_distance_NN","sd_distance_all","sd_distance_NN","n_obs","data_set"
"SR_Nitrogen_A.Amsinckia menziesii.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Amsinckia menziesii",0.400472608592939,0.252028862719196,0.0256489224591548,0.0432197662161187,13,"full_all"
"SR_Nitrogen_P.Amsinckia menziesii.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Amsinckia menziesii",0.404818843301672,0.24253814611722,0.0283963509609833,0.0401500803469256,17,"full_all"
"SR_Nitrogen_P.Anagallis arvensis.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Anagallis arvensis",0.269791219523711,0.111517482052359,NA,NA,1,"full_all"
"SR_Nitrogen_A.Avena barbata.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Avena barbata",0.264182677524874,0.117610858205954,0.00363811930898406,1.76776775659445e-05,2,"full_all"
"SR_Nitrogen_P.Avena barbata.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Avena barbata",0.283206732349614,0.111135027963315,0.0101914228414504,0.0184406028126185,3,"full_all"
"SR_Nitrogen_A.Brassica nigra.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Brassica nigra",0.384544464740555,0.18298542136884,0.0247246668463057,0.000188145022258934,3,"full_all"
"SR_Nitrogen_P.Brassica nigra.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Brassica nigra",0.394555131601984,0.185445092974761,0.0230593524107775,0.00450726098528212,4,"full_all"
"SR_Nitrogen_A.Bromus carinatus.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Bromus carinatus",0.361682734067801,0.129207717865292,0.0428888304422299,0.0562245441679447,12,"full_all"
"SR_Nitrogen_P.Bromus carinatus.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Bromus carinatus",0.356737218757712,0.140842770529413,0.0396678601406113,0.0619908936563085,11,"full_all"
"SR_Nitrogen_A.Bromus diandrus.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Bromus diandrus",0.300939348220373,0.187073505550674,0.0152019796017902,0.0242410305080511,15,"full_all"
"SR_Nitrogen_P.Bromus diandrus.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Bromus diandrus",0.331769687732511,0.19930740784675,0.0300511675464193,0.0443780898315937,19,"full_all"
"SR_Nitrogen_A.Bromus hordeaceus.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Bromus hordeaceus",0.255467978998451,0.1170876517633,0.0201640600741987,0.0258655577557753,19,"full_all"
"SR_Nitrogen_P.Bromus hordeaceus.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Bromus hordeaceus",0.27713920129845,0.148623718998132,0.0369403749695894,0.0426905112477647,19,"full_all"
"SR_Nitrogen_A.Bromus madritensis.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Bromus madritensis",0.309618382617807,0.185569887246402,0.02313100275796,0.0235719641041178,19,"full_all"
"SR_Nitrogen_P.Bromus madritensis.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Bromus madritensis",0.324066085077405,0.179171392226641,0.0342781112517951,0.033915349275352,13,"full_all"
"SR_Nitrogen_A.Centaurea melitensis.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Centaurea melitensis",0.247210604656885,0.134631431718997,NA,NA,1,"full_all"
"SR_Nitrogen_P.Clarkia purpurea.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Clarkia purpurea",0.288343436222877,0.125300454699155,NA,NA,1,"full_all"
"SR_Nitrogen_A.Corethrogyne filaginifolia.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Corethrogyne filaginifolia",0.40731064254639,0.286437128605744,NA,NA,1,"full_all"
"SR_Nitrogen_A.Elymus glaucus.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Elymus glaucus",0.364907055539862,0.141064663867198,0.0477462496219874,0.0762768182194242,12,"full_all"
"SR_Nitrogen_P.Elymus glaucus.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Elymus glaucus",0.3415270933893,0.103898449334801,0.0235210980340274,0.011023661243262,12,"full_all"
"SR_Nitrogen_A.Erigeron canadensis.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Erigeron canadensis",0.271677370201278,0.161190425865306,0.0220774779861591,0.0187447926764828,3,"full_all"
"SR_Nitrogen_P.Erigeron canadensis.0_NITROGEN","SR_Nitrogen_P","0_NITROGEN","SR","Nitrogen","biomass","Erigeron canadensis",0.267723059473453,0.151458522437137,0.0389732292022211,0.0167012629903803,3,"full_all"
"SR_Nitrogen_A.Erodium cicutarium.0_NITROGEN","SR_Nitrogen_A","0_NITROGEN","SR","Nitrogen","biomass","Erodium cicutarium",0.401565761707225,0.284946503431229,0.0130619896736943,0.0147588126567062,11,"full_all"
